
   Id ProcessName                  MainWi
                                   ndowTi
                                   tle   
   -- -----------                  ------
 3996 svchost                            
 4020 svchost                            
 4048 svchost                            
 4088 svchost                            
 4164 svchost                            
 4196 svchost                            
 4204 svchost                            
 4276 svchost                            
 4320 svchost                            
 4332 svchost                            
 4368 svchost                            
 4396 svchost                            
 4432 svchost                            
 4616 svchost                            
 4656 svchost                            
 4884 svchost                            
 5052 svchost                            
 5260 svchost                            
 5368 svchost                            
 6156 svchost                            
 6180 svchost                            
 6204 svchost                            
 6216 svchost                            
 6228 svchost                            
 6276 svchost                            
 6324 svchost                            
 6332 svchost                            
 6988 svchost                            
 7312 svchost                            
 7436 svchost                            
 7696 svchost                            
 8132 svchost                            
 8200 svchost                            
 8344 svchost                            
 8600 svchost                            
 8880 svchost                            
 9032 svchost                            
 9180 svchost                            
 9472 svchost                            
 9692 svchost                            
10032 svchost                            
10436 svchost                            
11032 svchost                            
11184 svchost                            
11460 svchost                            
11480 svchost                            
11968 svchost                            
12420 svchost                            
12588 svchost                            
12796 svchost                            
13100 svchost                            
14536 svchost                            
15520 svchost                            
15720 svchost                            
17592 svchost                            
17780 svchost                            
17864 svchost                            
18204 svchost                            
18884 svchost                            
19184 svchost                            
19556 svchost                            
20696 svchost                            
21320 svchost                            
25316 svchost                            
25692 svchost                            
    4 System                             
 4160 taskhostw                          
15876 TextInputHost                Exp...
17692 TranslateCmdPal                    
16256 UniGetUI                           
 2848 unsecapp                           
23280 UserOOBEBroker                     
10068 vmcompute                          
 3892 vmms                               
26120 warp                               
27688 warp                         ~\A...
20908 WidgetService                      
17496 WindowsPackageManagerServer        
 1560 wininit                            
 1628 winlogon                           
 8656 winlogon                           
 9220 wlanext                            
15924 WmiApSrv                           
 9840 WmiPrvSE                           
 9848 WmiPrvSE                           
25276 WmiPrvSE                           
 6724 WMIRegistrationService             
 6552 wslservice                         
 1452 WUDFHost                           
 1940 WUDFHost                           
 4924 WUDFHost                           
 5524 WUDFHost                           
26980 WUDFHost                           
16728 zerotier_desktop_ui                
 6700 zerotier-one_x64                   


